from	to	weight
5087100.0	965051.0	0.0006194086901113018
4932091.0	5087100.0	0.0006194086901113018
5043552.0	965051.0	0.0006201930294212815
4932091.0	5043552.0	0.0006201930294212815
4106228.0	3859027.0	0.001056284719546905
4091019.0	4106228.0	0.001056284719546905
2825806.0	3859027.0	0.001056284719546905
4091019.0	2825806.0	0.001056284719546905
5701.0	3859027.0	0.0005281418367710242
4091019.0	5701.0	0.0005281418367710242
3797570.0	3859027.0	0.001056284719546905
4091019.0	3797570.0	0.001056284719546905
2676399.0	44853.0	0.0004939378765325986
3123545.0	2676399.0	0.0004939378765325986
1545088.0	44853.0	0.0004939378765325986
3123545.0	1545088.0	0.0004939378765325986
7804896.0	4830296.0	0.0013511714072508207
7971387.0	7804896.0	0.0013511714072508207
2319844.0	1447509.0	0.0013937625346158954
5673416.0	2319844.0	0.0013937625346158954
6429699.0	4452553.0	0.000798306667641055
6028504.0	6429699.0	0.000798306667641055
6060650.0	4452553.0	0.000798306667641055
6028504.0	6060650.0	0.000798306667641055
58186.0	157247.0	0.0010450936957424374
989185.0	58186.0	0.0010450936957424374
5269827.0	1491895.0	0.0026397915515057055
5455057.0	5269827.0	0.0026397915515057055
4593347.0	3858806.0	1.0251116126314477e-08
7831719.0	4593347.0	1.0251116126314477e-08
3732075.0	3858806.0	1.0462093382379231e-08
7831719.0	3732075.0	1.0462093382379231e-08
3813825.0	3066972.0	0.0010323675869733835
3952775.0	3813825.0	0.0010323675869733835
3310749.0	3066972.0	0.0010323675869733835
3952775.0	3310749.0	0.0010323675869733835
118068.0	3066972.0	0.0005161842005562034
3952775.0	118068.0	0.0005161842005562034
2790092.0	574632.0	0.0006970868045754681
1904141.0	2790092.0	0.0006970868045754681
1059101.0	574632.0	5.871604867786241e-09
1904141.0	1059101.0	5.871604867786241e-09
4354201.0	574632.0	0.0006970868045754681
1904141.0	4354201.0	0.0006970868045754681
2856088.0	574632.0	0.0006970868045754681
1904141.0	2856088.0	0.0006970868045754681
944867.0	965051.0	0.0011734648304141436
1847373.0	944867.0	0.0011734648304141436
1862514.0	2847956.0	0.0005656982806921322
4303068.0	1862514.0	0.0005656982806921322
